node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,direction,if_type,array_size
0_1,nodes,1,0,not_exist,not_exist,128,0,1,256
0_2,edges,1,0,not_exist,not_exist,128,0,1,2048
0_3,starting_node,1,0,not_exist,not_exist,64,0,0,0
0_4,level_0,1,0,not_exist,not_exist,8,2,1,128
0_5,level_1,1,0,not_exist,not_exist,8,2,1,128
0_6,level_counts_0,1,0,not_exist,not_exist,64,1,1,5
0_7,level_counts_1,1,0,not_exist,not_exist,64,1,1,5
1_1,cnt,1,0,not_exist,not_exist,64,0,0,0
1_2,tmp_begin,1,0,not_exist,not_exist,64,0,0,0
1_3,tmp_end,1,0,not_exist,not_exist,64,0,0,0
1_4,edges,1,0,not_exist,not_exist,128,0,1,2048
1_5,level_0,1,0,not_exist,not_exist,8,2,1,128
1_6,level_1,1,0,not_exist,not_exist,8,2,1,128
1_7,zext_ln24,1,0,not_exist,not_exist,4,0,0,0
1_8,cnt_4_0_out,1,0,not_exist,not_exist,64,1,0,0
1_9,cnt_2_0_out,1,0,not_exist,not_exist,64,1,0,0
2_1,cnt_1,1,0,not_exist,not_exist,64,0,0,0
2_2,tmp_begin_1,1,0,not_exist,not_exist,64,0,0,0
2_3,tmp_end_1,1,0,not_exist,not_exist,64,0,0,0
2_4,edges,1,0,not_exist,not_exist,128,0,1,2048
2_5,level_0,1,0,not_exist,not_exist,8,2,1,128
2_6,level_1,1,0,not_exist,not_exist,8,2,1,128
2_7,zext_ln24_2,1,0,not_exist,not_exist,4,0,0,0
2_8,cnt_5_0_out,1,0,not_exist,not_exist,64,1,0,0
2_9,cnt_9_0_out,1,0,not_exist,not_exist,64,1,0,0
